player_display_name,position,season,games,tackles,assisted_tackles,sacks,tfl,forced_fumbles,def_interceptions,pass_deflections,def_tds
Ropati Pitoitua,DL,2013,15,34,10,4,7,0,0,4,0
Kyle Arrington,DB,2013,15,47,11,2,4,2,1,13,0
Anthony Toribio,DL,2013,4,3,2,0,0,0,0,0,0
Wallace Gilberry,DL,2013,11,18,6,7.5,6,1,0,3,0
Chris Long,DL,2013,16,33,7,8.5,13,1,0,2,1
Glenn Dorsey,DL,2013,15,28,13,2,3,0,0,0,0
Keith Rivers,LB,2013,12,22,20,1,2,0,0,1,0
Jerod Mayo,LB,2013,6,35,20,1.5,1,0,0,1,0
Leodis McKelvin,DB,2013,15,58,12,0,1,1,1,19,0
Dominique Rodgers-Cromartie,DB,2013,12,25,6,0,3,0,3,14,1
Aqib Talib,DB,2013,13,35,6,0,1,1,4,14,0
Mike Jenkins,DB,2013,15,57,8,0,5,1,2,6,0
Antoine Cason,DB,2013,8,9,2,0,0,0,2,3,1
Phillip Merling,DL,2013,2,1,1,0,0,0,0,0,0
Brandon Flowers,DB,2013,13,63,5,1,3,0,1,8,0
Curtis Lofton,LB,2013,16,82,43,2,6,1,0,4,0
Tracy Porter,DB,2013,16,53,14,1.5,5,0,2,12,1
Calais Campbell,DL,2013,16,45,13,9,14,1,0,6,0
Quentin Groves,LB,2013,4,3,0,2,3,0,0,0,0
Jason Jones,DL,2013,1,1,0,0,0,0,0,1,0
Terrell Thomas,DB,2013,13,58,9,1,1,1,1,7,0
Kendall Langford,DL,2013,16,36,13,5,11,0,0,4,0
Charles Godfrey,DB,2013,2,8,2,1,0,0,0,2,0
Dan Connor,LB,2013,1,1,1,0,0,0,0,0,0
Pat Sims,DL,2013,15,41,13,2,8,0,0,0,0
Andre Fluellen,DL,2013,4,1,2,0,1,0,0,0,0
Cliff Avril,DL,2013,14,14,6,8,4,5,0,4,0
Philip Wheeler,LB,2013,16,83,35,0.5,5,0,0,7,0
Thomas DeCoud,DB,2013,15,42,21,0,1,0,0,2,1
Tyvon Branch,DB,2013,1,4,1,1,1,0,0,0,0
William Hayes,DL,2013,13,21,7,5,9,0,1,3,0
Dwight Lowery,DB,2013,2,4,2,0,1,0,0,1,0
Quintin Demps,DB,2013,14,22,10,0,0,0,4,9,0
Craig Steltz,DB,2013,5,12,3,0,0,0,0,0,0
Red Bryant,DL,2013,14,16,14,1.5,4,0,0,1,0
Bryan Kehl,LB,2013,1,0,1,0,0,0,0,0,0
Brandon Carr,DB,2013,16,60,11,0,2,0,3,12,1
Zack Bowman,DB,2013,12,42,3,0,2,0,3,8,1
Orlando Scandrick,DB,2013,16,59,5,2,4,1,2,12,0
Letroy Guion,DL,2013,11,10,11,1,3,1,0,1,0
Kroy Biermann,DL,2013,2,5,2,0,1,0,0,0,0
Erik Walden,LB,2013,15,26,19,3,5,1,0,3,0
Trevor Scott,DL,2013,3,2,1,0,0,0,0,0,0
Geno Hayes,LB,2013,14,57,19,1,2,1,2,4,0
Nick Hayden,DL,2013,16,25,19,0,2,1,0,0,1
Ahtyba Rubin,DL,2013,14,25,27,2,3,0,0,0,0
Ryan Mundy,DB,2013,12,43,27,1,4,0,1,2,0
Joe Mays,LB,2013,14,41,25,1,6,0,0,3,0
Andy Studebaker,LB,2013,6,2,2,0,0,0,0,1,0
Landon Cohen,DL,2013,8,9,6,0,1,0,0,0,0
Cary Williams,DB,2013,16,55,10,1,1,0,3,12,0
Rob Jackson,LB,2013,6,6,9,2,1,0,1,1,0
Jameel McClain,LB,2013,10,27,23,0,1,1,0,0,0
Ricky Jean Francois,DL,2013,8,13,6,2.5,5,0,0,2,0
Chris Baker,DL,2013,13,16,11,1,5,0,0,1,0
Tony Carter,DB,2013,6,10,1,0,1,0,1,6,0
Desmond Bryant,DL,2013,12,11,20,3.5,3,0,0,0,0
Steve McLendon,DL,2013,12,20,13,0,1,1,0,0,0
Colt Anderson,DB,2013,4,1,1,0,0,0,0,1,0
Rob Francois,LB,2013,1,0,0,0,0,0,0,0,0
Russell Allen,LB,2013,14,45,18,1,4,0,0,0,0
Michael Bennett,DL,2013,15,18,13,8.5,9,1,0,0,1
Ashlee Palmer,LB,2013,13,20,7,0,5,0,0,1,0
Jamaal Westerman,LB,2013,7,3,2,0.5,0,0,0,0,0
Ramon Humber,LB,2013,9,12,10,0.5,2,0,0,1,0
Dan Skuta,LB,2013,9,15,7,0,3,0,0,2,1
Reggie Walker,LB,2013,14,30,6,3,6,1,0,1,0
Marcus Benard,LB,2013,8,9,1,2.5,1,1,0,1,0
C.J. Spillman,DB,2013,7,7,3,0,0,0,0,0,0
Tim Jamison,DL,2013,1,1,0,0,0,0,0,0,0
Jonathan Casillas,LB,2013,10,13,12,0,1,1,0,2,0
Danny Gorrer,DB,2013,2,7,1,0,0,1,0,0,0
Dannell Ellerbe,LB,2013,15,70,31,1,3,0,2,5,0
Keenan Lewis,DB,2013,16,39,8,0,1,1,4,9,0
Henry Melton,DL,2013,3,3,2,0,0,0,0,0,0
D.J. Moore,DB,2013,2,4,1,0,0,0,0,0,0
Greg Toler,DB,2013,6,17,6,0,0,0,1,7,0
Brandon Hughes,DB,2013,1,1,0,0,0,0,0,0,0
Jarius Wynn,DL,2013,9,8,3,2,4,0,0,2,0
Brice McCain,DB,2013,13,21,7,0,0,0,1,7,0
Vance Walker,DL,2013,13,29,11,3,7,0,0,0,0
Captain Munnerlyn,DB,2013,16,48,26,3.5,4,1,2,12,2
E.J. Biggers,DB,2013,14,21,11,0,1,0,1,2,0
Brad Jones,LB,2013,12,60,24,3,8,1,0,0,0
Moise Fokou,LB,2013,12,62,16,1,2,2,0,0,0
Jamarca Sanford,DB,2013,12,56,16,0,2,2,0,1,0
Clinton McDonald,DL,2013,14,19,16,5.5,7,0,1,2,0
Tyson Jackson,DL,2013,13,25,9,4,3,0,0,3,0
B.J. Raji,DL,2013,11,12,5,0,3,0,0,0,0
Brian Orakpo,LB,2013,14,43,17,10,16,0,1,4,1
Malcolm Jenkins,DB,2013,14,43,24,2.5,4,2,2,6,0
Brian Cushing,LB,2013,7,36,12,1.5,6,1,1,3,1
Larry English,DL,2013,8,12,5,2.5,2,0,0,1,0
Robert Ayers,DL,2013,15,23,6,5.5,7,1,0,0,0
Peria Jerry,DL,2013,16,25,8,3.5,5,0,0,1,0
Vontae Davis,DB,2013,14,41,5,0,0,0,1,12,0
Clay Matthews,LB,2013,11,26,15,7.5,9,3,0,1,0
Ziggy Hood,DL,2013,14,26,13,3,4,0,0,0,0
Louis Delmas,DB,2013,16,48,16,2,4,0,3,8,0
Patrick Chung,DB,2013,12,38,20,0,1,0,0,3,0
James Laurinaitis,LB,2013,16,85,31,3.5,8,0,2,9,0
Rey Maualuga,LB,2013,13,52,23,1,0,0,1,2,0
Darius Butler,DB,2013,15,43,9,0,1,0,4,15,1
Jairus Byrd,DB,2013,11,37,11,1,1,1,4,6,0
Everette Brown,DL,2013,5,5,5,1,2,1,0,0,0
Connor Barwin,LB,2013,16,44,14,5,10,1,1,10,0
Mike Mitchell,DB,2013,15,49,16,3.5,4,2,4,8,0
William Moore,DB,2013,16,67,19,2,3,3,3,7,0
Fili Moala,DL,2013,12,9,10,1.5,0,0,0,1,0
Paul Kruger,DL,2013,16,25,21,4.5,5,2,0,5,0
Sean Smith,DB,2013,16,43,4,0,0,0,2,13,1
Sen'Derrick Marks,DL,2013,16,27,6,4,6,2,0,8,0
Bradley Fletcher,DB,2013,13,58,7,0,0,0,2,15,0
Michael Johnson,DL,2013,15,35,21,3.5,5,2,1,9,0
Matt Shaughnessy,DL,2013,13,31,5,3,9,1,0,1,1
Terrance Knighton,DL,2013,15,18,13,3,5,0,1,1,0
Derek Cox,DB,2013,11,34,4,0,0,0,1,7,0
DeAndre Levy,LB,2013,16,85,33,0,8,0,6,15,1
Roy Miller,DL,2013,12,19,5,0,3,0,0,0,0
Lardarius Webb,DB,2013,16,63,11,0,2,0,2,22,0
Chris Owens,DB,2013,12,40,11,2.5,1,1,0,3,0
Jerraud Powers,DB,2013,16,60,5,0,0,1,1,17,0
Corvey Irvin,DL,2013,3,2,1,0,0,0,0,0,0
Rashad Johnson,DB,2013,13,48,4,0,0,0,3,5,0
Kaluka Maiava,LB,2013,5,9,7,0,0,0,0,0,0
Glover Quin,DB,2013,16,44,13,2,2,1,3,8,0
Vaughn Martin,DL,2013,1,1,0,0,0,0,0,0,0
David Bruton,DB,2013,8,14,2,0,0,0,0,0,0
Sammie Lee Hill,DL,2013,11,17,8,0,0,0,0,5,0
Jasper Brinkley,LB,2013,5,19,3,0,4,0,0,1,0
Don Carey,DB,2013,6,16,3,0,5,0,0,1,0
Jason McCourty,DB,2013,16,54,11,0,2,1,0,11,1
Ellis Lankster,DB,2013,3,4,1,0,0,0,0,0,0
Rafael Bush,DB,2013,13,26,11,0,0,0,0,5,0
Sergio Brown,DB,2013,4,2,0,0,0,0,0,0,0
Kyle Love,DL,2013,1,1,3,0,0,0,0,0,0
Dane Fletcher,LB,2013,7,9,6,2,2,1,0,0,0
Jeromy Miles,DB,2013,2,1,0,0,1,0,0,0,0
Vincent Rey,LB,2013,12,30,17,4,5,1,2,5,1
Jermelle Cudjo,DL,2013,10,7,4,0,1,0,0,1,0
Darian Stewart,DB,2013,11,28,6,0,0,1,0,5,0
Nate Collins,DL,2013,5,6,7,1,1,0,0,0,0
Cassius Vaughn,DB,2013,10,25,3,0,0,0,3,6,0
A.J. Jefferson,DB,2013,2,2,0,0,0,0,1,1,0
Tramaine Brock,DB,2013,15,33,2,0,0,0,5,13,1
Chris Maragos,DB,2013,3,3,0,0,1,0,0,0,0
Barry Church,DB,2013,16,105,28,0,3,3,1,6,1
Danny McCray,DB,2013,1,0,0,0,0,0,0,0,0
Sam Shields,DB,2013,14,51,10,0,0,0,4,16,0
Frank Zombo,LB,2013,7,20,3,2,0,1,1,2,0
Josh Gordy,DB,2013,6,8,2,0,0,0,1,2,0
Jay Ross,DL,2013,1,1,0,0,0,0,0,0,0
Anthony Levine,DB,2013,2,0,0,0,0,0,0,0,0
Marcus Sherels,DB,2013,12,36,6,0,1,0,1,6,0
Junior Galette,LB,2013,16,28,12,12,14,1,0,2,0
Mitch Unrein,DL,2013,13,15,5,0,1,0,0,0,0
Kion Wilson,LB,2013,4,5,2,0,0,0,0,0,0
Corey Wootton,DL,2013,16,28,6,3,8,1,0,5,0
Phillip Adams,DB,2013,9,23,4,0,0,0,0,1,0
Brian Sanford,DL,2013,4,4,4,0,3,0,0,0,0
Devin McCourty,DB,2013,15,47,20,0,1,2,1,9,0
Chris Cook,DB,2013,11,41,6,0,1,0,0,2,0
Nate Allen,DB,2013,16,59,23,1,2,1,1,5,0
T.J. Ward,DB,2013,16,75,37,1.5,9,0,2,5,2
Lamarr Houston,LB,2013,16,56,13,6,10,2,0,0,0
Javier Arenas,DB,2013,5,5,1,1,1,0,0,0,0
Carlos Dunlap,LB,2013,16,39,19,7.5,8,4,0,5,0
Sean Lee,LB,2013,11,68,31,0,3,0,4,6,1
Mike Neal,LB,2013,15,36,11,5,7,1,1,1,0
Terrence Cody,DL,2013,8,7,8,0,1,0,0,0,0
Brandon Spikes,LB,2013,15,48,38,0,6,0,1,2,0
Jerome Murphy,DB,2013,1,0,0,0,0,0,0,0,0
Morgan Burnett,DB,2013,13,57,36,0,0,0,0,6,1
Alex Carrington,DL,2013,3,4,6,0,2,0,0,0,0
D'Anthony Smith,DL,2013,2,2,3,0,0,0,0,0,0
Major Wright,DB,2013,15,77,22,0,0,2,2,3,1
Donald Butler,LB,2013,12,71,13,0.5,4,0,1,4,0
Earl Mitchell,DL,2013,16,30,18,1.5,2,0,0,0,0
Corey Peters,DL,2013,14,29,17,5,6,0,0,2,0
Daniel Te'o-Nesheim,DL,2013,11,9,5,0,2,0,0,0,0
Brandon Ghee,DB,2013,4,3,3,0,0,0,0,5,0
Everson Griffen,DL,2013,14,18,9,5.5,7,1,0,0,0
Darryl Sharpton,LB,2013,15,56,31,0,2,1,0,1,0
Perry Riley,LB,2013,16,69,43,3,7,0,1,8,0
Alterraun Verner,DB,2013,16,49,8,0,0,0,5,22,1
Darrell Stuckey,DB,2013,4,7,2,0,0,0,0,1,0
Walter Thurmond,DB,2013,12,24,9,1,3,1,1,6,1
Geno Atkins,DL,2013,8,9,11,6,5,0,0,0,0
Al Woods,DL,2013,9,8,8,2,1,0,0,2,0
O'Brien Schofield,DL,2013,6,6,1,1,3,0,0,0,0
Kam Chancellor,DB,2013,16,61,32,0,3,1,3,6,0
Ricky Sapp,LB,2013,1,0,1,0,0,0,0,0,0
Dominique Franks,DB,2013,2,0,0,0,0,0,0,1,0
Kendrick Lewis,DB,2013,16,46,10,0,3,0,1,4,0
Perrish Cox,DB,2013,5,5,0,0,0,0,0,0,0
Sherrick McManis,DB,2013,1,1,0,0,0,0,0,1,0
Nolan Carroll,DB,2013,14,43,3,2,2,0,3,11,0
Cam Thomas,DL,2013,13,17,6,0,4,0,1,2,0
Austen Lane,DL,2013,1,0,0,0,0,0,0,0,0
Arthur Jones,DL,2013,14,28,25,4,8,0,0,0,0
Larry Asante,DB,2013,1,0,0,0,0,0,0,0,0
Reshad Jones,DB,2013,16,84,23,1.5,3,0,1,4,1
Crezdon Butler,DB,2013,3,2,1,0,0,1,0,0,0
Stevenson Sylvester,LB,2013,3,6,2,0,0,0,0,0,0
Greg Hardy,DL,2013,16,39,20,15,17,1,0,1,0
Arthur Moats,DL,2013,13,27,21,0,1,0,0,0,0
Clifton Geathers,DL,2013,9,9,4,0,1,0,0,0,0
Eugene Sims,DL,2013,16,20,7,2,6,0,0,1,0
Jordan Pugh,DB,2013,1,1,0,0,0,0,1,1,0
Willie Young,LB,2013,16,29,18,3,7,0,0,5,0
Dekoda Watson,LB,2013,12,29,8,2,5,1,1,1,0
George Selvie,DL,2013,16,37,8,7,13,1,0,1,0
C.J. Wilson,DL,2013,4,5,3,0,1,0,0,0,0
